feature,value
logarithm_glcm_Id,0.2343856687152902
logarithm_glcm_Contrast,0.23430684594613313
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.23426955996012544
squareroot_ngtdm_Contrast,0.23380470698810557
logarithm_glcm_Imc1,0.23291305016682148
wavelet-LLL_glcm_Imc1,0.23004479879090506
wavelet-HHL_glcm_Imc2,0.22966147793548647
lbp-3D-m2_firstorder_Maximum,0.2293109815124215
lbp-3D-m2_firstorder_Range,0.2293109815124215
logarithm_glcm_Correlation,0.2287808674945934
wavelet-HHH_glrlm_RunVariance,0.22857175900186288
gradient_ngtdm_Contrast,0.2269117368450037
squareroot_glcm_DifferenceAverage,0.22664650216766166
square_glrlm_LowGrayLevelRunEmphasis,0.2264481955987723
wavelet-LHH_glrlm_ShortRunEmphasis,0.22634284123329562
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.22583969061565715
logarithm_glcm_InverseVariance,0.2257070586324035
wavelet-LHH_glrlm_RunPercentage,0.2234349198566607
square_glcm_InverseVariance,0.2228976095070922
wavelet-HLH_glrlm_RunVariance,0.22287288731458593
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.22110661051187
wavelet-HLH_glrlm_LongRunEmphasis,0.22050137948069248
squareroot_gldm_SmallDependenceEmphasis,0.2200028886175471
wavelet-LLH_glcm_Correlation,0.2197294563559934
squareroot_firstorder_90Percentile,0.21895757896332183
wavelet-LLH_glszm_ZoneVariance,0.21866850699876397
wavelet-LLH_glszm_LargeAreaEmphasis,0.21866759246055403
wavelet-HHH_glrlm_LongRunEmphasis,0.21856839084840934
gradient_glcm_Idmn,0.21815172678886297
squareroot_glcm_DifferenceEntropy,0.21803764384426974
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,0.21765904021828592
wavelet-LHH_glcm_MaximumProbability,0.2175419569239566
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.21699237750848435
wavelet-HLH_glcm_Imc2,0.21691681161053497
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.2168670531265772
wavelet-HLH_gldm_LargeDependenceEmphasis,0.21684192189950263
squareroot_gldm_DependenceNonUniformityNormalized,0.21575769230540115
original_gldm_DependenceEntropy,0.21546893203333933
lbp-3D-k_glszm_GrayLevelVariance,0.21539491031219554
lbp-3D-k_glszm_GrayLevelNonUniformityNormalized,0.21539491031219213
wavelet-LHH_firstorder_Uniformity,0.21521101404284138
wavelet-LLL_gldm_DependenceEntropy,0.21472507054458007
squareroot_glcm_Id,0.21450457785896174
squareroot_glszm_ZonePercentage,0.21442431137023424
logarithm_glcm_Idm,0.21438598700311917
wavelet-LLL_glcm_Idmn,0.2140124507463853
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.21352817556795245
wavelet-LLL_ngtdm_Strength,0.21192612228061164
wavelet-LLH_ngtdm_Busyness,0.21190938595109354
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.21151931979778246
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.2113515801400107
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.21081276435476823
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.21047186293054454
wavelet-HLH_glcm_Correlation,0.21030258505682184
square_glrlm_GrayLevelNonUniformityNormalized,0.20969043630179174
wavelet-HLH_glszm_SmallAreaEmphasis,0.20961757909800283
wavelet-HLL_glszm_SmallAreaEmphasis,0.20884411677913178
logarithm_glrlm_RunLengthNonUniformityNormalized,0.20883342003779695
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.20858778148459037
lbp-3D-k_glszm_LowGrayLevelZoneEmphasis,0.20843458425902758
lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,0.20843458425901565
squareroot_glcm_Imc1,0.2083882718450487
square_glszm_SmallAreaLowGrayLevelEmphasis,0.20838733533625248
wavelet-LHL_firstorder_Mean,0.20824692902117012
wavelet-LLH_gldm_DependenceVariance,0.20698343640401926
wavelet-HHH_glcm_Imc1,0.20635821554040232
wavelet-HLH_gldm_GrayLevelNonUniformity,0.2061501170895062
wavelet-HLH_glrlm_ShortRunEmphasis,0.20585309694021325
squareroot_glcm_InverseVariance,0.205805983459515
logarithm_glrlm_ShortRunEmphasis,0.20469149512731527
wavelet-HHH_gldm_LargeDependenceEmphasis,0.2043627520417424
wavelet-HLL_glcm_Imc2,0.20429260871129404
squareroot_glcm_Correlation,0.20415915736684834
wavelet-LHH_gldm_DependenceVariance,0.20403386457347059
wavelet-HLH_glrlm_RunPercentage,0.20391705186882414
wavelet-HHL_ngtdm_Strength,0.2034995746345705
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.20345093578801582
wavelet-LHH_gldm_GrayLevelNonUniformity,0.20305924254861188
original_glszm_SizeZoneNonUniformityNormalized,0.20298392917981067
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.20251242040565526
wavelet-HLL_glszm_GrayLevelVariance,0.20182617500882696
wavelet-HHL_gldm_GrayLevelNonUniformity,0.20100307659080197
original_glszm_SmallAreaEmphasis,0.20054506675027592
wavelet-HLH_glcm_JointEnergy,0.200365018406822
logarithm_glrlm_RunPercentage,0.2003160122255508
wavelet-HHH_gldm_DependenceEntropy,0.20010526873391477
wavelet-HLL_firstorder_Mean,0.19998390411563505
original_shape_SurfaceVolumeRatio,0.19974749517105886
wavelet-HHH_glcm_Imc2,0.1996448053715884
wavelet-LLH_ngtdm_Coarseness,0.199282537498543
wavelet-LHL_firstorder_Median,0.19914727889874564
wavelet-LLL_glcm_Correlation,0.1990281948666008
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.19849276338534516
wavelet-LHL_glcm_MCC,0.19822321667873244
wavelet-LHH_glcm_Idm,0.19774793949158445
square_glrlm_ShortRunEmphasis,0.1976984237288639
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.19753174991197034
original_glszm_SmallAreaHighGrayLevelEmphasis,0.19752685681697635
wavelet-LHH_glszm_SmallAreaEmphasis,0.19751147456148868
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.19726228898824744
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.1971455179502173
lbp-3D-k_glszm_GrayLevelNonUniformity,0.19706843235545252
squareroot_glcm_Idm,0.19625541292505716
gradient_glszm_SizeZoneNonUniformityNormalized,0.19614314361255503
wavelet-LHH_glcm_Correlation,0.1958384810861028
gradient_glszm_SmallAreaEmphasis,0.19534079823995845
square_glrlm_RunLengthNonUniformityNormalized,0.19521528693277018
logarithm_glcm_Imc2,0.19495652916772457
lbp-3D-k_firstorder_Median,0.19488399312777097
wavelet-HLL_ngtdm_Coarseness,0.1947202640499703
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.1946917403777364
squareroot_glszm_ZoneEntropy,0.19455381939950223
wavelet-HHH_glrlm_ShortRunEmphasis,0.19451344698556183
wavelet-HHH_glcm_Correlation,0.19439040531473142
wavelet-LHL_ngtdm_Coarseness,0.19425799184825382
exponential_glszm_ZonePercentage,0.1941279712263386
wavelet-HLH_firstorder_Median,0.1940488022415474
