feature,importance
square_glrlm_LowGrayLevelRunEmphasis,0.226448196
wavelet-LHH_glrlm_ShortRunEmphasis,0.226342841
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.225839691
logarithm_glcm_InverseVariance,0.225707059
wavelet-LHH_glrlm_RunPercentage,0.22343492
square_glcm_InverseVariance,0.22289761
wavelet-HLH_glrlm_RunVariance,0.222872887
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.221106611
wavelet-HLH_glrlm_LongRunEmphasis,0.220501379
squareroot_gldm_SmallDependenceEmphasis,0.220002889
wavelet-LLH_glcm_Correlation,0.219729456
squareroot_firstorder_90Percentile,0.218957579
wavelet-LLH_glszm_ZoneVariance,0.218668507
wavelet-LLH_glszm_LargeAreaEmphasis,0.218667592
wavelet-HHH_glrlm_LongRunEmphasis,0.218568391
gradient_glcm_Idmn,0.218151727
squareroot_glcm_DifferenceEntropy,0.218037644
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,0.21765904
wavelet-LHH_glcm_MaximumProbability,0.217541957
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.216992378
wavelet-HLH_glcm_Imc2,0.216916812
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.216867053
wavelet-HLH_gldm_LargeDependenceEmphasis,0.216841922
squareroot_gldm_DependenceNonUniformityNormalized,0.215757692
original_gldm_DependenceEntropy,0.215468932
lbp-3D-k_glszm_GrayLevelVariance,0.21539491
lbp-3D-k_glszm_GrayLevelNonUniformityNormalized,0.21539491
wavelet-LHH_firstorder_Uniformity,0.215211014
wavelet-LLL_gldm_DependenceEntropy,0.214725071
squareroot_glcm_Id,0.214504578
squareroot_glszm_ZonePercentage,0.214424311
logarithm_glcm_Idm,0.214385987
wavelet-LLL_glcm_Idmn,0.214012451
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.213528176
wavelet-LLL_ngtdm_Strength,0.211926122
wavelet-LLH_ngtdm_Busyness,0.211909386
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.21151932
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.21135158
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.210812764
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.210471863
wavelet-HLH_glcm_Correlation,0.210302585
square_glrlm_GrayLevelNonUniformityNormalized,0.209690436
wavelet-HLH_glszm_SmallAreaEmphasis,0.209617579
wavelet-HLL_glszm_SmallAreaEmphasis,0.208844117
logarithm_glrlm_RunLengthNonUniformityNormalized,0.20883342
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.208587781
lbp-3D-k_glszm_LowGrayLevelZoneEmphasis,0.208434584
lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,0.208434584
squareroot_glcm_Imc1,0.208388272
square_glszm_SmallAreaLowGrayLevelEmphasis,0.208387335
wavelet-LHL_firstorder_Mean,0.208246929
wavelet-LLH_gldm_DependenceVariance,0.206983436
wavelet-HHH_glcm_Imc1,0.206358216
wavelet-HLH_gldm_GrayLevelNonUniformity,0.206150117
wavelet-HLH_glrlm_ShortRunEmphasis,0.205853097
squareroot_glcm_InverseVariance,0.205805983
logarithm_glrlm_ShortRunEmphasis,0.204691495
wavelet-HHH_gldm_LargeDependenceEmphasis,0.204362752
wavelet-HLL_glcm_Imc2,0.204292609
squareroot_glcm_Correlation,0.204159157
wavelet-LHH_gldm_DependenceVariance,0.204033865
wavelet-HLH_glrlm_RunPercentage,0.203917052
wavelet-HHL_ngtdm_Strength,0.203499575
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.203450936
wavelet-LHH_gldm_GrayLevelNonUniformity,0.203059243
original_glszm_SizeZoneNonUniformityNormalized,0.202983929
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.20251242
wavelet-HLL_glszm_GrayLevelVariance,0.201826175
wavelet-HHL_gldm_GrayLevelNonUniformity,0.201003077
original_glszm_SmallAreaEmphasis,0.200545067
wavelet-HLH_glcm_JointEnergy,0.200365018
logarithm_glrlm_RunPercentage,0.200316012
wavelet-HHH_gldm_DependenceEntropy,0.200105269
wavelet-HLL_firstorder_Mean,0.199983904
original_shape_SurfaceVolumeRatio,0.199747495
wavelet-HHH_glcm_Imc2,0.199644805
wavelet-LLH_ngtdm_Coarseness,0.199282537
wavelet-LHL_firstorder_Median,0.199147279
wavelet-LLL_glcm_Correlation,0.199028195
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.198492763
wavelet-LHL_glcm_MCC,0.198223217
wavelet-LHH_glcm_Idm,0.197747939
square_glrlm_ShortRunEmphasis,0.197698424
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.19753175
original_glszm_SmallAreaHighGrayLevelEmphasis,0.197526857
wavelet-LHH_glszm_SmallAreaEmphasis,0.197511475
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.197262289
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.197145518
lbp-3D-k_glszm_GrayLevelNonUniformity,0.197068432
squareroot_glcm_Idm,0.196255413
gradient_glszm_SizeZoneNonUniformityNormalized,0.196143144
wavelet-LHH_glcm_Correlation,0.195838481
gradient_glszm_SmallAreaEmphasis,0.195340798
square_glrlm_RunLengthNonUniformityNormalized,0.195215287
logarithm_glcm_Imc2,0.194956529
lbp-3D-k_firstorder_Median,0.194883993
wavelet-HLL_ngtdm_Coarseness,0.194720264
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.19469174
squareroot_glszm_ZoneEntropy,0.194553819
wavelet-HHH_glrlm_ShortRunEmphasis,0.194513447
wavelet-HHH_glcm_Correlation,0.194390405
wavelet-LHL_ngtdm_Coarseness,0.194257992
exponential_glszm_ZonePercentage,0.194127971
wavelet-HLH_firstorder_Median,0.194048802
wavelet-LLL_glszm_ZoneEntropy,0.193811247
logarithm_firstorder_Entropy,0.19369183
lbp-3D-k_glszm_SizeZoneNonUniformity,0.193644894
wavelet-HHH_glrlm_RunPercentage,0.193222821
wavelet-LHH_glcm_Id,0.192792456
wavelet-LLL_glcm_Imc2,0.192547196
wavelet-LHH_ngtdm_Coarseness,0.192397495
square_glcm_Correlation,0.192089268
squareroot_glcm_Contrast,0.192008643
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.191854069
original_ngtdm_Contrast,0.191620394
wavelet-HLH_ngtdm_Coarseness,0.191556455
original_glcm_Correlation,0.19121099
wavelet-HLL_glcm_MCC,0.191202262
wavelet-HHL_ngtdm_Coarseness,0.191155343
wavelet-HHH_glcm_JointEnergy,0.190843529
original_glcm_Idmn,0.190575571
wavelet-HHH_gldm_GrayLevelNonUniformity,0.190452032
squareroot_glcm_Imc2,0.190018706
wavelet-HLH_firstorder_Uniformity,0.189592977
gradient_ngtdm_Coarseness,0.189553958
wavelet-HHL_glcm_Imc1,0.189495308
wavelet-HHH_ngtdm_Coarseness,0.189312007
logarithm_glcm_SumEntropy,0.189244456
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.188656626
